imdb_id	title	runtime_mins	primary_genre	directors	writers	casts
9143636	Guest of Honour	105	Drama	nm0000382	nm0000382	nm5315658,nm0000667,nm0005561,nm0687947
9144326	Travesty of the Multiverse	131	Adventure	nm9713129,nm7764698	nm9752316,nm9713129,nm7764698	nm9752316,nm9713129,nm7764698,nm9752966
9144756	Rattlesnakes	85	Thriller	nm2000073	nm2000073,nm10246824	nm1097515,nm0171059,nm0565750,nm0010264
9144838	Le voyage du prince	77	Animation	nm0681422,nm0481451	nm0481451,nm1109893	nm1060345,nm0756216,nm0494246,nm2204227
9145050	No Quiero Ser Tu Hermano	100	Comedy	nm4378198	nm4378198,nm3556568	nm1426800,nm2161976,nm1840123,nm1454488,nm0488579,nm4469167,nm7004940,nm6797988
9145354	Intemporel	100	Thriller	nm10198710	nm10198714,nm10198710	nm10198713,nm10198714,nm10198716,nm10198715,nm10198711,nm10181178,nm10198717,nm10198712
9145478	Nanatsu no kaigi	119	Drama	nm0298055	nm3413175,nm10250854,nm2157069	nm3110389,nm2171777,nm0368089,nm0434554
9146058	Aspromonte - La terra degli ultimi	89	Drama	nm0130691	nm0130691,nm3202940	nm0116254,nm0502813,nm0748207,nm7535164
9147456	Endings, Beginnings	110	Drama	nm2035886	nm2035886,nm10199477	nm0940362,nm1946193,nm1659221,nm1131557
9147678	La Paura Trema Contro	74	Horror	nm8894537	nm8894537	nm8645161,nm7984413,nm10199530,nm10199531
9149306	Blood & Oil	93	Action	nm0333983	nm7126335	nm6329027,nm7745171,nm1816193,nm0608632,nm4076871
9149946	Bernie the Dolphin 2	99	Action	nm0364963	nm5631648,nm0690856	nm0001757,nm0005258,nm8268181,nm7190199
9150004	Command 357	120	Comedy	nm10200495	\N	nm1168761,nm2845827,nm0756022
9150556	End of Season	92	Drama	nm3965542	nm10354731,nm3965542	nm8956714,nm6033556,nm6487941,nm6487942
